test,item,score,speaker_name,speaker_style,speaker,speaker_gender,speaker_age,rater,rater_gender,rater_age
132,22,5,pueli,intense,3214,F.s,37,18,F.r,48
132,23,4,povei,calm,3215,M.s,31,18,F.r,48
132,24,5,pomir,intense,3216,F.s,38,18,F.r,48
132,25,5,laerk,intense,3217,M.s,44,18,F.r,48
132,26,7,pamer,calm,3218,F.s,50,18,F.r,48
132,27,2,saerk,intense,3219,M.s,41,18,F.r,48
132,28,5,mxmer,calm,3220,F.s,19,18,F.r,48
132,29,3,auerk,intense,3221,M.s,50,18,F.r,48
132,30,6,kleva,intense,3222,F.s,43,18,F.r,48
132,31,3,anago,intense,3223,M.s,48,18,F.r,48
132,32,2,pueli,calm,3224,F.s,37,18,F.r,48
132,33,4,ojand,calm,3225,M.s,37,18,F.r,48
132,34,3,marii,intense,3226,F.s,38,18,F.r,48
132,35,4,erand,calm,3227,M.s,44,18,F.r,48
132,36,5,ktele,calm,3228,F.s,45,18,F.r,48
132,37,6,revel,intense,3229,M.s,39,18,F.r,48
132,38,7,tapir,intense,3230,F.s,53,18,F.r,48
132,39,1,prjaa,calm,3231,M.s,39,18,F.r,48
132,40,4,vaait,calm,3232,F.s,57,18,F.r,48
132,41,6,raand,calm,3233,M.s,50,18,F.r,48
132,42,7,pomir,calm,3234,F.s,38,18,F.r,48
132,43,4,tuvei,intense,3235,M.s,37,18,F.r,48
132,44,5,deane,calm,3236,F.s,23,18,F.r,48
132,45,2,povei,intense,3237,M.s,31,18,F.r,48
132,46,3,lerea,calm,3238,F.s,30,18,F.r,48
132,47,1,raard,calm,3239,M.s,46,18,F.r,48
132,48,7,paann,calm,3240,F.s,69,18,F.r,48
132,49,6,taarn,intense,3241,M.s,35,18,F.r,48
132,50,5,krpir,calm,3242,F.s,31,18,F.r,48
132,51,6,rachr,intense,3243,M.s,30,18,F.r,48
132,52,5,pamer,intense,3244,F.s,50,18,F.r,48
132,53,4,auerk,calm,3245,M.s,50,18,F.r,48
132,54,4,mxmer,intense,3246,F.s,19,18,F.r,48
132,55,7,laerk,calm,3247,M.s,44,18,F.r,48
132,56,6,pxeli,intense,3248,F.s,31,18,F.r,48
132,57,7,saerk,calm,3249,M.s,41,18,F.r,48
132,58,3,reeli,intense,3250,F.s,44,18,F.r,48
132,59,3,mafra,calm,3251,M.s,20,18,F.r,48
132,60,7,kleva,calm,3252,F.s,43,18,F.r,48
132,1,5,anago,calm,3193,M.s,48,31,F.r,46
132,2,5,vaait,intense,3194,F.s,57,31,F.r,46
132,3,3,erand,intense,3195,M.s,44,31,F.r,46
132,4,2,paann,intense,3196,F.s,69,31,F.r,46
132,5,3,prjaa,intense,3197,M.s,39,31,F.r,46
132,6,4,pxeli,calm,3198,F.s,31,31,F.r,46
132,7,5,rachr,calm,3199,M.s,30,31,F.r,46
132,8,6,ktele,intense,3200,F.s,45,31,F.r,46
132,9,5,taarn,calm,3201,M.s,35,31,F.r,46
132,10,3,marii,calm,3202,F.s,38,31,F.r,46
132,11,2,ojand,intense,3203,M.s,37,31,F.r,46
132,12,3,deane,intense,3204,F.s,23,31,F.r,46
132,13,5,tuvei,calm,3205,M.s,37,31,F.r,46
132,14,4,lerea,intense,3206,F.s,30,31,F.r,46
132,15,5,raard,intense,3207,M.s,46,31,F.r,46
132,16,6,tapir,calm,3208,F.s,53,31,F.r,46
132,17,5,revel,calm,3209,M.s,39,31,F.r,46
132,18,3,reeli,calm,3210,F.s,44,31,F.r,46
132,19,1,raand,intense,3211,M.s,50,31,F.r,46
132,20,1,krpir,intense,3212,F.s,31,31,F.r,46
132,21,6,mafra,intense,3213,M.s,20,31,F.r,46
132,22,2,pueli,intense,3214,F.s,37,31,F.r,46
132,23,2,povei,calm,3215,M.s,31,31,F.r,46
132,24,2,pomir,intense,3216,F.s,38,31,F.r,46
132,25,1,laerk,intense,3217,M.s,44,31,F.r,46
132,26,6,pamer,calm,3218,F.s,50,31,F.r,46
132,27,1,saerk,intense,3219,M.s,41,31,F.r,46
132,28,6,mxmer,calm,3220,F.s,19,31,F.r,46
132,29,1,auerk,intense,3221,M.s,50,31,F.r,46
132,30,3,kleva,intense,3222,F.s,43,31,F.r,46
132,31,1,anago,intense,3223,M.s,48,31,F.r,46
132,32,4,pueli,calm,3224,F.s,37,31,F.r,46
132,33,5,ojand,calm,3225,M.s,37,31,F.r,46
132,34,4,marii,intense,3226,F.s,38,31,F.r,46
132,35,7,erand,calm,3227,M.s,44,31,F.r,46
132,36,7,ktele,calm,3228,F.s,45,31,F.r,46
132,37,2,revel,intense,3229,M.s,39,31,F.r,46
132,38,5,tapir,intense,3230,F.s,53,31,F.r,46
132,39,7,prjaa,calm,3231,M.s,39,31,F.r,46
132,40,6,vaait,calm,3232,F.s,57,31,F.r,46
132,41,6,raand,calm,3233,M.s,50,31,F.r,46
132,42,6,pomir,calm,3234,F.s,38,31,F.r,46
132,43,3,tuvei,intense,3235,M.s,37,31,F.r,46
132,44,4,deane,calm,3236,F.s,23,31,F.r,46
132,45,2,povei,intense,3237,M.s,31,31,F.r,46
132,46,4,lerea,calm,3238,F.s,30,31,F.r,46
132,47,6,raard,calm,3239,M.s,46,31,F.r,46
132,48,6,paann,calm,3240,F.s,69,31,F.r,46
132,49,4,taarn,intense,3241,M.s,35,31,F.r,46
132,50,4,krpir,calm,3242,F.s,31,31,F.r,46
132,51,2,rachr,intense,3243,M.s,30,31,F.r,46
132,52,5,pamer,intense,3244,F.s,50,31,F.r,46
132,53,5,auerk,calm,3245,M.s,50,31,F.r,46
132,54,4,mxmer,intense,3246,F.s,19,31,F.r,46
132,55,4,laerk,calm,3247,M.s,44,31,F.r,46
132,56,5,pxeli,intense,3248,F.s,31,31,F.r,46
132,57,5,saerk,calm,3249,M.s,41,31,F.r,46
132,58,2,reeli,intense,3250,F.s,44,31,F.r,46
132,59,6,mafra,calm,3251,M.s,20,31,F.r,46
132,60,6,kleva,calm,3252,F.s,43,31,F.r,46
132,1,2,anago,calm,3193,M.s,48,36,M.r,54
132,2,3,vaait,intense,3194,F.s,57,36,M.r,54
132,3,6,erand,intense,3195,M.s,44,36,M.r,54
132,4,1,paann,intense,3196,F.s,69,36,M.r,54
132,5,2,prjaa,intense,3197,M.s,39,36,M.r,54
132,6,3,pxeli,calm,3198,F.s,31,36,M.r,54
132,7,3,rachr,calm,3199,M.s,30,36,M.r,54
132,8,4,ktele,intense,3200,F.s,45,36,M.r,54
132,9,3,taarn,calm,3201,M.s,35,36,M.r,54
132,10,3,marii,calm,3202,F.s,38,36,M.r,54
132,11,5,ojand,intense,3203,M.s,37,36,M.r,54
132,12,1,deane,intense,3204,F.s,23,36,M.r,54
132,13,2,tuvei,calm,3205,M.s,37,36,M.r,54
